Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day01:00:50,4.9210,2.0004,9.9861,2.0281,96.05,96.05,842
0day01:01:00,4.9220,2.0014,10.0134,2.0337,96.32,96.32,840
0day01:01:10,4.9230,2.0002,10.0408,2.0392,96.58,96.58,840
0day01:01:20,4.9230,1.9999,10.0681,2.0448,96.84,96.84,838
0day01:01:30,4.9220,2.0001,10.0955,2.0503,97.11,97.11,841
0day01:01:40,4.9230,2.0009,10.1228,2.0559,97.37,97.37,838
0day01:01:50,4.9230,2.0016,10.1502,2.0615,97.63,97.63,840
0day01:02:00,4.9230,1.9995,10.1775,2.0670,97.90,97.89,837
0day01:02:10,4.9220,2.0001,10.2049,2.0726,98.16,98.16,841
0day01:02:20,4.9210,2.0004,10.2322,2.0781,98.42,98.42,841
0day01:02:30,4.9210,1.9997,10.2596,2.0837,98.68,98.68,842
0day01:02:40,4.9210,2.0003,10.2869,2.0892,98.95,98.95,842
0day01:02:50,4.9210,2.0003,10.3143,2.0948,99.21,99.21,842
0day01:03:00,4.9220,2.0004,10.3416,2.1004,99.47,99.47,841
0day01:03:10,4.9220,2.0006,10.3690,2.1059,99.74,99.74,842
0day01:03:20,4.9220,2.0004,10.3963,2.1115,100.00,100.00,843
