Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),Irradiance
0day00:35:00,4.8810,1.9903,4.9014,1.0620,43.81,44.77,759
0day00:35:10,4.8800,1.9897,4.9284,1.0676,44.05,45.00,758
0day00:35:20,4.8810,1.9900,4.9553,1.0731,44.29,45.23,756
0day00:35:30,4.8820,1.9910,4.9823,1.0786,44.53,45.47,759
0day00:35:40,4.8820,1.9904,5.0093,1.0841,44.77,45.70,760
0day00:35:50,4.8840,1.9901,5.0363,1.0897,45.01,45.93,758
0day00:36:00,4.8840,1.9899,5.0633,1.0952,45.25,46.17,761
0day00:36:10,4.8840,1.9897,5.0903,1.1007,45.49,46.40,763
0day00:36:20,4.8850,1.9901,5.1173,1.1063,45.74,46.63,765
0day00:36:30,4.8840,1.9904,5.1443,1.1118,45.98,46.86,763
0day00:36:40,4.8830,1.9906,5.1713,1.1173,46.22,47.10,763
0day00:36:50,4.8830,1.9904,5.1983,1.1228,46.46,47.33,763
0day00:37:00,4.8820,1.9907,5.2253,1.1284,46.70,47.56,764
0day00:37:10,4.8820,1.9904,5.2523,1.1339,46.94,47.80,765
0day00:37:20,4.8820,1.9905,5.2793,1.1394,47.18,48.03,766
0day00:37:30,4.8830,1.9907,5.3063,1.1450,47.42,48.26,772
0day00:37:40,4.8840,1.9905,5.3333,1.1505,47.67,48.50,774
0day00:37:50,4.8840,1.9905,5.3603,1.1560,47.91,48.73,774
0day00:38:00,4.8830,1.9905,5.3873,1.1615,48.15,48.96,773
0day00:38:10,4.8820,1.9904,5.4143,1.1671,48.39,49.20,775
0day00:38:20,4.8820,1.9905,5.4413,1.1726,48.63,49.43,775
0day00:38:30,4.8820,1.9902,5.4683,1.1781,48.87,49.66,777
0day00:38:40,4.8820,1.9902,5.4953,1.1837,49.11,49.89,780
0day00:38:50,4.8830,1.9903,5.5223,1.1892,49.35,50.13,784
0day00:39:00,4.8830,1.9906,5.5493,1.1947,49.60,50.36,784
0day00:39:10,4.8830,1.9905,5.5763,1.2003,49.84,50.59,784
0day00:39:20,4.8830,1.9904,5.6033,1.2058,50.08,50.83,786
0day00:39:30,4.8840,1.9903,5.6303,1.2113,50.32,51.06,787
0day00:39:40,4.8840,1.9908,5.6573,1.2168,50.56,51.29,793
0day00:39:50,4.8830,1.9904,5.6843,1.2224,50.80,51.53,791
0day00:40:00,4.8840,1.9903,5.7113,1.2279,51.04,51.76,793
0day00:40:10,4.8850,1.9906,5.7383,1.2334,51.29,51.99,791
0day00:40:20,4.8840,1.9906,5.7653,1.2390,51.53,52.23,789
0day00:40:30,4.8840,1.9907,5.7923,1.2445,51.77,52.46,788
0day00:40:40,4.8830,1.9916,5.8193,1.2500,52.01,52.69,785
0day00:40:50,4.8830,1.9903,5.8463,1.2555,52.25,52.92,784
0day00:41:00,4.8830,1.9903,5.8733,1.2611,52.49,53.16,781
0day00:41:10,4.8830,1.9906,5.9003,1.2666,52.73,53.39,781
0day00:41:20,4.8830,1.9902,5.9273,1.2721,52.97,53.62,778
0day00:41:30,4.8830,1.9905,5.9543,1.2777,53.22,53.86,777
0day00:41:40,4.8830,1.9903,5.9813,1.2832,53.46,54.09,775
0day00:41:50,4.8820,1.9904,6.0083,1.2887,53.70,54.32,777
0day00:42:00,4.8820,1.9907,6.0353,1.2942,53.94,54.56,775
0day00:42:10,4.8810,1.9904,6.0623,1.2998,54.18,54.79,773
0day00:42:20,4.8810,1.9900,6.0893,1.3053,54.42,55.02,774
0day00:42:30,4.8800,1.9904,6.1162,1.3108,54.66,55.25,774
